interface_id,transporter_gene,preferred_name,target_label,published_label_for_trace,target_role,evidence_tier,source_database,source_origin,sample_weight,standardization_key,standardized_inchikey,standardized_isomeric_smiles,standardized_connectivity_smiles,murcko_scaffold_smiles,std_molecular_weight,std_xlogp,std_tpsa,std_hbond_donor_count,std_hbond_acceptor_count,std_rotatable_bond_count,std_formal_charge,std_heavy_atom_count,source_record_id,source_url,claim_boundary,preferred_name_normalized,input_standardized_inchikey,derived_standardized_inchikey,derived_isomeric_smiles,derived_connectivity_smiles,standardizer_reproduced_inchikey,inchikey_reproduction_status,exact_scaffold_group,generic_scaffold_group
CAND::T10_AUD_00001,ABCB1,NORETHINDRONE,0,0,candidate_supervised,B_author_curated_no_row_primary_assay,ChEMBL,Daood author-curated ChEMBL records,1.0,QGQUHXSBTSDAML-ULCNYCTPSA-N,QGQUHXSBTSDAML-ULCNYCTPSA-N,C#C[C@]1(O)CC[C@H]2[C@@H]3CC=C4CC(=O)CCC4[C@H]3CC[C@@]21C,,O=C1CCC2C(=CCC3C4CCCC4CCC23)C1,298.426,3.4925,37.3,,,,,,T10_AUD_00001,https://pmc.ncbi.nlm.nih.gov/articles/PMC12587445/,author-curated candidate; not Tier A direct assay truth,NORETHINDRONE,QGQUHXSBTSDAML-ULCNYCTPSA-N,QGQUHXSBTSDAML-ULCNYCTPSA-N,C#C[C@]1(O)CC[C@H]2[C@@H]3CC=C4CC(=O)CCC4[C@H]3CC[C@@]21C,C#CC1(O)CCC2C3CC=C4CC(=O)CCC4C3CCC21C,QGQUHXSBTSDAML-ULCNYCTPSA-N,match,O=C1CCC2C(=CCC3C4CCCC4CCC23)C1,CC1CCC2C(CCC3C4CCCC4CCC23)C1
CAND::T10_AUD_00002,ABCB1,ETHINYL ESTRADIOL,1,1,candidate_supervised,B_author_curated_no_row_primary_assay,ChEMBL,Daood author-curated ChEMBL records,1.0,BFPYWIDHMRZLRN-SLHNCBLASA-N,BFPYWIDHMRZLRN-SLHNCBLASA-N,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,,c1ccc2c(c1)CCC1C2CCC2CCCC21,296.41,3.6126,40.46,,,,,,T10_AUD_00002,https://pmc.ncbi.nlm.nih.gov/articles/PMC12587445/,author-curated candidate; not Tier A direct assay truth,ETHINYL ESTRADIOL,BFPYWIDHMRZLRN-SLHNCBLASA-N,BFPYWIDHMRZLRN-SLHNCBLASA-N,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C,BFPYWIDHMRZLRN-SLHNCBLASA-N,match,c1ccc2c(c1)CCC1C2CCC2CCCC21,C1CCC2C(C1)CCC1C3CCCC3CCC21
CAND::T10_AUD_00003,ABCB1,SELEGILINE,0,0,candidate_supervised,B_author_curated_no_row_primary_assay,ChEMBL,Daood author-curated ChEMBL records,1.0,MEZLKOACVSPNER-GFCCVEGCSA-N,MEZLKOACVSPNER-GFCCVEGCSA-N,C#CCN(C)[C@H](C)Cc1ccccc1,,c1ccccc1,187.286,2.1826,3.24,,,,,,T10_AUD_00003,https://pmc.ncbi.nlm.nih.gov/articles/PMC12587445/,author-curated candidate; not Tier A direct assay truth,SELEGILINE,MEZLKOACVSPNER-GFCCVEGCSA-N,MEZLKOACVSPNER-GFCCVEGCSA-N,C#CCN(C)[C@H](C)Cc1ccccc1,C#CCN(C)C(C)Cc1ccccc1,MEZLKOACVSPNER-GFCCVEGCSA-N,match,c1ccccc1,C1CCCCC1
CAND::T10_AUD_00005,ABCB1,ERLOTINIB,1,1,candidate_supervised,B_author_curated_no_row_primary_assay,ChEMBL,Daood author-curated ChEMBL records,1.0,AAKJLRGGTJKAMG-UHFFFAOYSA-N,AAKJLRGGTJKAMG-UHFFFAOYSA-N,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,,c1ccc(Nc2ncnc3ccccc23)cc1,393.443,3.4051,74.73,,,,,,T10_AUD_00005,https://pmc.ncbi.nlm.nih.gov/articles/PMC12587445/,author-curated candidate; not Tier A direct assay truth,ERLOTINIB,AAKJLRGGTJKAMG-UHFFFAOYSA-N,AAKJLRGGTJKAMG-UHFFFAOYSA-N,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,AAKJLRGGTJKAMG-UHFFFAOYSA-N,match,c1ccc(Nc2ncnc3ccccc23)cc1,C1CCC(CC2CCCC3CCCCC32)CC1
CAND::T10_AUD_00006,ABCB1,BISANTRENE,1,1,candidate_supervised,B_author_curated_no_row_primary_assay,ChEMBL,Daood author-curated ChEMBL records,1.0,NJSMWLQOCQIOPE-UHFFFAOYSA-N,NJSMWLQOCQIOPE-UHFFFAOYSA-N,C(=NNC1=NCCN1)c1c2ccccc2c(C=NNC2=NCCN2)c2ccccc12,,C(=NNC1=NCCN1)c1c2ccccc2c(C=NNC2=NCCN2)c2ccccc12,398.474,1.7584,97.56,,,,,,T10_AUD_00006,https://pmc.ncbi.nlm.nih.gov/articles/PMC12587445/,author-curated candidate; not Tier A direct assay truth,BISANTRENE,NJSMWLQOCQIOPE-UHFFFAOYSA-N,NJSMWLQOCQIOPE-UHFFFAOYSA-N,C(=NNC1=NCCN1)c1c2ccccc2c(C=NNC2=NCCN2)c2ccccc12,C(=NNC1=NCCN1)c1c2ccccc2c(C=NNC2=NCCN2)c2ccccc12,NJSMWLQOCQIOPE-UHFFFAOYSA-N,match,C(=NNC1=NCCN1)c1c2ccccc2c(C=NNC2=NCCN2)c2ccccc12,C1CCC(CCCC2C3CCCCC3C(CCCC3CCCC3)C3CCCCC32)C1
CAND::T10_AUD_00009,ABCB1,,1,1,candidate_supervised,B_author_curated_no_row_primary_assay,ChEMBL,Daood author-curated ChEMBL records,1.0,QQOKHWYWSYNBSI-IBGZPJMESA-N,QQOKHWYWSYNBSI-IBGZPJMESA-N,C=C1C[C@@](C)(c2cc(NC(=O)c3ccc(C#N)cn3)ccc2F)N=C(N)S1,,C=C1CC(c2cccc(NC(=O)c3ccccn3)c2)N=CS1,381.436,3.5252,104.16,,,,,,T10_AUD_00009,https://pmc.ncbi.nlm.nih.gov/articles/PMC12587445/,author-curated candidate; not Tier A direct assay truth,,QQOKHWYWSYNBSI-IBGZPJMESA-N,QQOKHWYWSYNBSI-IBGZPJMESA-N,C=C1C[C@@](C)(c2cc(NC(=O)c3ccc(C#N)cn3)ccc2F)N=C(N)S1,C=C1CC(C)(c2cc(NC(=O)c3ccc(C#N)cn3)ccc2F)N=C(N)S1,QQOKHWYWSYNBSI-IBGZPJMESA-N,match,C=C1CC(c2cccc(NC(=O)c3ccccn3)c2)N=CS1,CC1CCCC(C2CCCC(CC(C)C3CCCCC3)C2)C1
CAND::T10_AUD_00013,ABCB1,QUINIDINE,1,1,candidate_supervised,B_author_curated_no_row_primary_assay,ChEMBL,Daood author-curated ChEMBL records,1.0,LOUPRKONTZGTKE-LHHVKLHASA-N,LOUPRKONTZGTKE-LHHVKLHASA-N,C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,,c1ccc2c(CC3CC4CCN3CC4)ccnc2c1,324.424,3.1732,45.59,,,,,,T10_AUD_00013,https://pmc.ncbi.nlm.nih.gov/articles/PMC12587445/,author-curated candidate; not Tier A direct assay truth,QUINIDINE,LOUPRKONTZGTKE-LHHVKLHASA-N,LOUPRKONTZGTKE-LHHVKLHASA-N,C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,LOUPRKONTZGTKE-LHHVKLHASA-N,match,c1ccc2c(CC3CC4CCN3CC4)ccnc2c1,C1CCC2C(C1)CCCC2CC1CC2CCC1CC2
CAND::T10_AUD_00014,ABCB1,,1,1,candidate_supervised,B_author_curated_no_row_primary_assay,ChEMBL,Daood author-curated ChEMBL records,1.0,AYDSLXXUAYWCBG-UHFFFAOYSA-N,AYDSLXXUAYWCBG-UHFFFAOYSA-N,C=CCC(N)c1ccccc1-c1noc2ccccc12,,c1ccc(-c2noc3ccccc23)cc1,264.328,4.0707,52.05,,,,,,T10_AUD_00014,https://pmc.ncbi.nlm.nih.gov/articles/PMC12587445/,author-curated candidate; not Tier A direct assay truth,,AYDSLXXUAYWCBG-UHFFFAOYSA-N,AYDSLXXUAYWCBG-UHFFFAOYSA-N,C=CCC(N)c1ccccc1-c1noc2ccccc12,C=CCC(N)c1ccccc1-c1noc2ccccc12,AYDSLXXUAYWCBG-UHFFFAOYSA-N,match,c1ccc(-c2noc3ccccc23)cc1,C1CCC(C2CCC3CCCCC32)CC1
CAND::T10_AUD_00015,ABCB1,TACROLIMUS,1,1,candidate_supervised,B_author_curated_no_row_primary_assay,ChEMBL,Daood author-curated ChEMBL records,1.0,SLUYGGAVUSVJOT-VZCWQGFJSA-N,SLUYGGAVUSVJOT-VZCWQGFJSA-N,C=CCC1=CC(C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCCC3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](O)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC,,O=C1C=CCCCCCC2CCCC(O2)C(=O)C(=O)N2CCCCC2C(=O)OC(C=CC2CCCCC2)CCC1,804.031,4.639,178.36,,,,,,T10_AUD_00015,https://pmc.ncbi.nlm.nih.gov/articles/PMC12587445/,author-curated candidate; not Tier A direct assay truth,TACROLIMUS,SLUYGGAVUSVJOT-VZCWQGFJSA-N,SLUYGGAVUSVJOT-VZCWQGFJSA-N,C=CCC1=CC(C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCCC3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](O)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC,C=CCC1=CC(C)CC(C)CC(OC)C2OC(O)(C(=O)C(=O)N3CCCCC3C(=O)OC(C(C)=CC3CCC(O)C(OC)C3)C(C)C(O)CC1=O)C(C)CC2OC,SLUYGGAVUSVJOT-VZCWQGFJSA-N,match,O=C1C=CCCCCCC2CCCC(O2)C(=O)C(=O)N2CCCCC2C(=O)OC(C=CC2CCCCC2)CCC1,CC1CCCCCCCC2CCCC(C2)C(C)C(C)C2CCCCC2C(C)CC(CCC2CCCCC2)CCC1
CAND::T10_AUD_00017,ABCB1,,1,1,candidate_supervised,B_author_curated_no_row_primary_assay,ChEMBL,Daood author-curated ChEMBL records,1.0,GERNFWKTMKWULM-UHFFFAOYSA-N,GERNFWKTMKWULM-UHFFFAOYSA-N,C=CCNc1nc(NCC=C)nc(N2CCC(NCC(c3ccc(F)cc3)c3ccc(F)cc3)CC2)n1,,c1ccc(C(CNC2CCN(c3ncncn3)CC2)c2ccccc2)cc1,505.617,4.7361,78.0,,,,,,T10_AUD_00017,https://pmc.ncbi.nlm.nih.gov/articles/PMC12587445/,author-curated candidate; not Tier A direct assay truth,,GERNFWKTMKWULM-UHFFFAOYSA-N,GERNFWKTMKWULM-UHFFFAOYSA-N,C=CCNc1nc(NCC=C)nc(N2CCC(NCC(c3ccc(F)cc3)c3ccc(F)cc3)CC2)n1,C=CCNc1nc(NCC=C)nc(N2CCC(NCC(c3ccc(F)cc3)c3ccc(F)cc3)CC2)n1,GERNFWKTMKWULM-UHFFFAOYSA-N,match,c1ccc(C(CNC2CCN(c3ncncn3)CC2)c2ccccc2)cc1,C1CCC(C2CCC(CCC(C3CCCCC3)C3CCCCC3)CC2)CC1
